epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,8242.55,1.44892,0.74543,1.04461,0.72091,0.50379,0.54267,0.34035,1.29307,0.64379,1.01502,0.007888,0.007888,0.007888
66,8793.48,1.44764,0.74515,1.04248,0.71249,0.50749,0.54319,0.34005,1.29313,0.64235,1.01459,0.007855,0.007855,0.007855
67,9467.34,1.44833,0.74828,1.04414,0.71485,0.50737,0.54297,0.34014,1.29303,0.6415,1.0145,0.007822,0.007822,0.007822
68,9986.45,1.44376,0.74673,1.04283,0.71335,0.50742,0.54321,0.34054,1.29299,0.64423,1.0143,0.007789,0.007789,0.007789
69,10687,1.44485,0.74424,1.04299,0.71007,0.50781,0.54331,0.34085,1.2931,0.64769,1.01431,0.007756,0.007756,0.007756
70,11208.6,1.43851,0.73658,1.03967,0.7077,0.50878,0.54321,0.34104,1.29336,0.64864,1.01431,0.007723,0.007723,0.007723
71,11708.3,1.44349,0.74119,1.0418,0.70537,0.50811,0.54251,0.34085,1.29338,0.64918,1.01418,0.00769,0.00769,0.00769
72,12339.7,1.44163,0.74008,1.04192,0.70664,0.50699,0.54289,0.34145,1.29348,0.64925,1.0142,0.007657,0.007657,0.007657
73,13088.5,1.43894,0.73892,1.03919,0.70191,0.50844,0.54228,0.34129,1.29357,0.64885,1.0141,0.007624,0.007624,0.007624
74,13658,1.43692,0.73688,1.0393,0.70576,0.50659,0.54237,0.34151,1.29375,0.64892,1.01417,0.007591,0.007591,0.007591
75,14171,1.43822,0.74071,1.04007,0.70076,0.50632,0.54185,0.34153,1.29414,0.65263,1.01408,0.007558,0.007558,0.007558
76,14713.7,1.43276,0.73389,1.03904,0.70263,0.50331,0.54118,0.34113,1.29486,0.66576,1.0141,0.007525,0.007525,0.007525
77,15289.7,1.43334,0.7361,1.03779,0.70062,0.50287,0.54111,0.34128,1.29491,0.66666,1.01413,0.007492,0.007492,0.007492
78,15896.6,1.43991,0.74113,1.04125,0.69908,0.50141,0.54102,0.34124,1.29509,0.67094,1.01416,0.007459,0.007459,0.007459
79,16532.9,1.43266,0.73454,1.03697,0.69924,0.49917,0.541,0.34144,1.29531,0.67212,1.01423,0.007426,0.007426,0.007426
80,17240.6,1.43105,0.73174,1.03664,0.69777,0.49688,0.5407,0.34117,1.29531,0.67375,1.0143,0.007393,0.007393,0.007393
81,17916.7,1.43109,0.73179,1.03695,0.6907,0.49833,0.54021,0.3408,1.29556,0.67497,1.01433,0.00736,0.00736,0.00736
82,18580.4,1.42834,0.73065,1.03483,0.68095,0.50343,0.54045,0.34088,1.29577,0.67652,1.01433,0.007327,0.007327,0.007327
83,19349.6,1.42878,0.73215,1.03562,0.67745,0.50588,0.5404,0.34078,1.29607,0.67772,1.01445,0.007294,0.007294,0.007294
84,20037.5,1.42789,0.73166,1.03635,0.67358,0.5071,0.54002,0.34064,1.29629,0.6795,1.01459,0.007261,0.007261,0.007261
85,20617.3,1.42333,0.72639,1.03364,0.66515,0.51245,0.53975,0.34023,1.29662,0.68111,1.01474,0.007228,0.007228,0.007228
86,21334.1,1.42618,0.73072,1.03441,0.66337,0.51069,0.53981,0.34001,1.2969,0.68285,1.01478,0.007195,0.007195,0.007195
87,22038.8,1.42581,0.72827,1.03374,0.65967,0.51166,0.53901,0.33956,1.29724,0.68443,1.01488,0.007162,0.007162,0.007162
88,22712.9,1.42468,0.72751,1.03273,0.65922,0.51205,0.53848,0.3393,1.29747,0.68541,1.01492,0.007129,0.007129,0.007129
89,23473.6,1.42128,0.72598,1.03279,0.65849,0.51038,0.53844,0.3394,1.29777,0.68624,1.01492,0.007096,0.007096,0.007096
90,24339.9,1.42144,0.72997,1.03316,0.66192,0.50723,0.53789,0.33911,1.29811,0.68821,1.01499,0.007063,0.007063,0.007063
91,25135.8,1.42137,0.7281,1.03344,0.66489,0.50516,0.53749,0.33846,1.29852,0.68969,1.01497,0.00703,0.00703,0.00703
92,26029,1.41781,0.72423,1.03173,0.66697,0.5039,0.53702,0.33845,1.29885,0.6903,1.01501,0.006997,0.006997,0.006997
93,26747.2,1.4112,0.72077,1.02944,0.66814,0.50364,0.53656,0.33823,1.29923,0.69015,1.01517,0.006964,0.006964,0.006964
94,27354.9,1.41543,0.72261,1.03096,0.6723,0.50242,0.53658,0.3381,1.29968,0.69169,1.01527,0.006931,0.006931,0.006931
95,28092.5,1.41393,0.7214,1.03168,0.67587,0.5008,0.53665,0.33831,1.29994,0.69296,1.01532,0.006898,0.006898,0.006898
96,28819.3,1.41167,0.72257,1.03116,0.67785,0.5011,0.53661,0.3383,1.30011,0.69427,1.01536,0.006865,0.006865,0.006865
97,29465,1.40724,0.71909,1.02748,0.67807,0.50321,0.53643,0.33831,1.30055,0.69541,1.01544,0.006832,0.006832,0.006832
98,30209.7,1.41367,0.72028,1.02875,0.67997,0.50424,0.53627,0.33814,1.30086,0.69643,1.01551,0.006799,0.006799,0.006799
99,30901.6,1.41124,0.72271,1.02923,0.68017,0.50345,0.53594,0.3381,1.30112,0.69724,1.0156,0.006766,0.006766,0.006766
